state,district,flood_date,flood_cause,river_basin,latitude,longitude,source
Pulau Pinang,Seberang Perai Selatan,2026-04-08,Saliran Dalaman,Sungai Kerian (KRANTP0046 - Taman Nibong Tebal); Sungai Kerian (Taman Sri Maju Nibong Tebal); Sungai Kerian (Kampung Tong Hai),5.210425,100.468350,JPS/DID
Sabah,Keningau,2026-04-07,"Air Sungai Melimpah, Longkang Tersumbat, Saliran Dalaman",Sungai Padas (Kg. Toboh Baru); Sungai Padas (Kg Jaya Baru); Sungai Padas (Kg Beribi),5.220590,116.330635,JPS/DID
Pahang,Raub,2026-04-06,Air Sungai Melimpah,Sungai Pahang (LIPSTP0208 - Kg. Batu Talam),3.872660,101.832000,JPS/DID
Pahang,Lipis,2026-04-06,Air Sungai Melimpah,Sungai Pahang (JLAITP0008 - Pos Sinderut),4.342810,101.879390,JPS/DID
Sabah,Sipitang,2026-04-05,Air Sungai Melimpah,Sungai Mengalong (Kg Tanjung Nipis); Sungai Mengalong (Kg Masjid Pantai); Sungai Mengalong (Kg Kawang Taliair); Sungai Mengalong (Kg Luagan); Sungai Mengalong (Kg Sindumin Baru); Sungai Mengalong (Kg Siputol); Sungai Mengalong (Pekan Sindumin); Sungai Mengalong (Kg Skim Sindumin); Sungai Mengalong (Kg Kawang Baru); Sungai Mengalong (Kg Sri Menanti),4.633510,115.650535,JPS/DID
Sabah,Tenom,2026-04-05,Air Sungai Melimpah,Sungai Padas (Kampung Kuala Tomani); Sungai Padas (Kampung Marais); Sungai Padas (Kampung Kalamatoi); Sungai Padas (Kampung Paal Sebrang); Sungai Padas (Kampung Paal),4.910710,115.943365,JPS/DID
Selangor,Petaling,2026-03-31,Saliran Dalaman,,3.104900,101.579100,JPS/DID
Selangor,Kuala Selangor,2026-03-29,Saliran Dalaman,,3.379540,101.297520,JPS/DID
Selangor,Gombak,2026-03-29,Saliran Dalaman,Sungai Klang (BATUTP0018 - Jalan 23 21 & 62 Selayang Baru),3.277000,101.641260,JPS/DID
Sabah,Kudat,2026-03-10,Air Sungai Melimpah,,7.003630,117.129360,JPS/DID
Sabah,Beluran,2026-03-10,Air Sungai Melimpah,Sungai Paitan (Kampung Batangon Darat); Sungai Paitan (Kampung Kabuluh); Sungai Paitan (kampung Batangon Laut); Sungai Paitan (SK Simpangan Paitan); Sungai Paitan (Kampung Lubang Buaya); Sungai Paitan (Kampung Dalamas),6.199915,117.313095,JPS/DID
Sarawak,Lundu,2026-03-10,Air Sungai Melimpah,Batang Kayan (Kampung Sebat Melayu); Batang Kayan (Kampung Sebat Baru),1.749525,109.864880,JPS/DID
Sarawak,Lundu,2026-03-10,Air Sungai Melimpah,"Batang Kayan (Akses Jalan ke Kpg Pasir Tengah, Lundu)",1.749525,109.864880,JPS/DID
Sarawak,Lundu,2026-03-10,Air Sungai Melimpah,Batang Kayan (Kampung Sileng Melayu); Batang Kayan (Kampung Seketi Melayu),1.749525,109.864880,JPS/DID
Sabah,Kota Marudu,2026-03-10,"Air Laut Pasang, Air Sungai Melimpah",Sungai Bongon (Kg.Asin-Asin); Sungai Bongon (Kg.Taritipan); Sungai Bongon (Kg.Beliajung); Sungai Bongon (Kg.Tingkalanon); Sungai Bongon (Kg.Morion); Sungai Bongon (Kg.Slimandut); Sungai Tandek (RSAKTP0001 - Kg. Longob); Sungai Tandek (RSAKTP0002 - Kg. Masolog),6.449675,116.836480,JPS/DID
Sarawak,Samarahan,2026-03-10,"Longkang Tersumbat, Saliran Dalaman",Batang Samarahan (Taman Sri Tuang),1.438020,110.476780,JPS/DID
Sarawak,Samarahan,2026-03-10,"Air Laut Pasang, Air Sungai Melimpah",Batang Samarahan (Kampung Tanjung Bundong Fasa 3); Batang Samarahan (Kampung Muara Tuang); Batang Samarahan (SAMATP0015 - Kg. Rembus); Batang Samarahan (SAMATP0003 - Kg. Baru); Batang Samarahan (Kampung Jegoi); Batang Samarahan (Kampung Plaie),1.438020,110.476780,JPS/DID
Sarawak,Bau,2026-03-10,Air Sungai Melimpah,Sungai Sarawak (KAMPUNG SEGONG),1.383520,110.101050,JPS/DID
Sarawak,Samarahan,2026-03-10,Saliran Dalaman,"Sungai Sarawak (Taman Samarindah Lrg 21, 28 & 29); Sungai Sarawak (Taman Punan); Sungai Sarawak (Taman Unimedia); Sungai Sarawak (Kampung Bukit Berangan); Sungai Sarawak (SK Muara Tuang); Sungai Sarawak (Kampung Sungai Empit Lrg 3); Sungai Sarawak (Taman Univista Lrg 1 -3); Sungai Sarawak (Taman Muara Tuang Park)",1.438020,110.476780,JPS/DID
Sarawak,Bau,2026-03-10,Air Sungai Melimpah,Sungai Sarawak (KAMPUNG ATAS),1.383520,110.101050,JPS/DID
Sarawak,Limbang,2026-03-08,Air Sungai Melimpah,Sungai Limbang (LIMBTP0067 - Hujung Jalan Nanga Medamit),4.352435,115.147090,JPS/DID
Sarawak,Kuching,2026-03-07,"Longkang Tersumbat, Saliran Dalaman",Sungai Santubong (Bandar Baru Samariang fasa 5); Sungai Santubong (Bandar Baru Samariang Fasa 2); Sungai Santubong (Bandar Baru Samariang Fasa 3),1.428430,110.320230,JPS/DID
Sarawak,Asajaya,2026-03-07,"Air Laut Pasang, Air Sungai Melimpah, Saliran Dalaman",Batang Sadong (SADONG JAYA),1.531625,110.610110,JPS/DID
Sarawak,Limbang,2026-03-06,"Longkang Tersumbat, Saliran Dalaman",Sungai Limbang (LIMBTP0026 - Bandar Limbang); Sungai Limbang (Perumahan IPD Limbang); Sungai Limbang (Jalan Pandaruan - Hospital Limbang); Sungai Limbang (LIMBTP0041 - Jalan Simpang Kubong); Sungai Limbang (Batu 3); Sungai Limbang (LIMBTP0023 - Kg. Malanggai); Sungai Limbang (Taman Damai); Sungai Limbang (Taman Orkid); Sungai Limbang (Kawasan Sungai Kaban); Sungai Limbang (Kampung Nauran),4.352435,115.147090,JPS/DID
Selangor,Sepang,2026-03-06,"Longkang Tersumbat, Saliran Dalaman","Sungai Langat (Jalan Sg. Merab, Kg. Sg. Merab)",2.805410,101.681090,JPS/DID
Sarawak,Limbang,2026-03-06,"Longkang Tersumbat, Saliran Dalaman",Sungai Limbang (LIMBTP0040 - Kg. Tegarai),4.352435,115.147090,JPS/DID
Selangor,Hulu Langat,2026-03-05,"Longkang Tersumbat, Saliran Dalaman",Sungai Langat (SMYHTP0009 - Taman Semenyih Indah),3.074900,101.845620,JPS/DID
Negeri Sembilan,Seremban,2026-03-05,Air Sungai Melimpah,Sungai Langat (pekan nilai lama),2.755985,101.908985,JPS/DID
Negeri Sembilan,Port Dickson,2026-03-05,"Air Laut Pasang, Air Sungai Melimpah, Saliran Dalaman",Sungai Lukut Besar (LUKTTP0002 - Kg. Batu 7),2.556845,101.866430,JPS/DID
Negeri Sembilan,Seremban,2026-03-05,"Air Sungai Melimpah, Pembangunan / Pembukaan Tanah / Sampah Sarap",Sungai Langat (Lebuhraya PLUS KM 287),2.755985,101.908985,JPS/DID
Selangor,Kuala Selangor,2026-03-04,Saliran Dalaman,,3.379540,101.297520,JPS/DID
Selangor,Hulu Langat,2026-03-02,"Longkang Tersumbat, Saliran Dalaman",Sungai Langat (SMYHTP0009 - Taman Semenyih Indah),3.074900,101.845620,JPS/DID
Sarawak,Bintulu,2026-02-27,Air Sungai Melimpah,Batang Kemena (PANDTP0003 - SK Genaan); Batang Kemena (PANDTP0001 - SK Kuala Sigu); Batang Kemena (Rumah Eran anak Badi),3.313910,113.201905,JPS/DID
Sarawak,Selangau,2026-02-26,"Air Sungai Melimpah, Hujan Lebat / Berterusan","Batang Mukah (Rumah Magdeline Entayang, Kampung Baru Melinau)",2.498055,112.420495,JPS/DID
Sarawak,Miri,2026-02-26,Air Sungai Melimpah,Batang Baram (SK Pengarah Entri); Batang Baram (SK Long Ikang),3.787580,114.729625,JPS/DID
Sarawak,Bintulu,2026-02-26,Air Sungai Melimpah,"Batang Kemena (Rumah Usah, Sungai Sebungan)",3.313910,113.201905,JPS/DID
Sarawak,Kanowit,2026-02-26,"Air Sungai Melimpah, Hujan Lebat / Berterusan",Batang Rajang (SK Ulu Bawan); Batang Rajang (SK Nanga Balingiau); Batang Rajang (Rumah Awin Sungai Mapai),1.933875,112.216625,JPS/DID
Sarawak,Bintulu,2026-02-26,Air Sungai Melimpah,Batang Kemena (Rumah Jeffery Sulau); Batang Kemena (Rumah Mawan anak Ressa),3.313910,113.201905,JPS/DID
Perak,Batang Padang,2026-02-26,Air Sungai Melimpah,Sungai Perak (KG. BULUH TELUR),4.118290,101.290910,JPS/DID
